storefront,pf,storefront_id,tab,tab_id,page,section_index,section,section_id,section_ty,section_lo,iar,bg_style,card_source,card_index,card,card_id,card_ty,cty,cust_sc,source_url,request_url
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,3,F3 (Telugu),A127B26D-A50F-4890-93AC-EB0FDC2B5F79,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,4,Journey Of Love 18 + (Kannada),EA1F5EE6-2749-485A-9205-886BC39547B1,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,5,Indian Idol,F640FE19-13D6-4B1E-8DA8-AFEAE9937B7F,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,6,Hastinapur Ke Veer,3F069F9F-BAB6-44CD-A711-85385B76644C,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,7,"Hui Gumm Yaadein Ek Doctor, Do Zindagiyaan",FA4E64C3-29BB-42C4-A45C-D461ED559D7A,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,8,Undekhi,EA0E7547-C626-4DD8-9E0E-56BB767E059D,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,9,Upcoming - 3rd T20I - India Women's Tour of England 2026,AACFCE0C-0F9C-4A4C-A543-C32A5354CA01,,sporthighlight,sports,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,10,Marco (Telugu),5D8EBC66-92CF-451E-B8E6-9D993DEA7FF7,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,5,Trending In India Today,D78745D8-35F5-4248-8909-68216A62C46F,Container,carousel,0-2x3,{},direct_cd,11,Toby (Kannada),44277259-AD76-4BBA-B94E-411BDA99D0F5,,movie,movies,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,6,Reality Shows,5A701F0F-943E-4F6C-98EC-62E184D5E17B,Container,carousel,0-16x9,{},direct_cd,1,Kaun Banega Crorepati,DFE596C8-9216-4483-8530-3FB880610015,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,6,Reality Shows,5A701F0F-943E-4F6C-98EC-62E184D5E17B,Container,carousel,0-16x9,{},direct_cd,2,Aaj Kay Banavu Ya? - Madhura Special,3C46190A-8FCA-49B4-87AC-437CAB70E493,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,6,Reality Shows,5A701F0F-943E-4F6C-98EC-62E184D5E17B,Container,carousel,0-16x9,{},direct_cd,3,Indian Idol,F640FE19-13D6-4B1E-8DA8-AFEAE9937B7F,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,6,Reality Shows,5A701F0F-943E-4F6C-98EC-62E184D5E17B,Container,carousel,0-16x9,{},direct_cd,4,Scam 1992 The Harshad Mehta Story,C12530D6-CCDE-41D0-B25E-55334A66FD4E,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,6,Reality Shows,5A701F0F-943E-4F6C-98EC-62E184D5E17B,Container,carousel,0-16x9,{},direct_cd,5,Million Dollar Listing India,01123D69-1899-4978-83EC-EB4982F9867A,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
Entertainment,regular,EBFB096C-CA11-4E32-A231-8A7FA15B5E13,Home,9EF17281-00E5-4C44-A480-A2FCD73E179C,1,6,Reality Shows,5A701F0F-943E-4F6C-98EC-62E184D5E17B,Container,carousel,0-16x9,{},direct_cd,6,Rocket Boys,A55DBD71-DB0C-40BC-A2B3-758D43389DF3,,tvseries,shows,,https://catalog-service.cms-qp.opt.quickplay.com/catalog/storefront/landingscreen?ipr=true&ivg=false&sfInfo=true&reg=in&dt=androidmobile&client=sony-sony-androidmobile&chrt=Sony1&cPageSize=10&pf=regular&cPageNumber=1
